year,month,payload_mass,core_reused,latitude,longitude,stages,cost_per_launch,has_capsule,has_crew,success_rate,locality_Omelek Island,locality_Vandenberg Space Force Base,region_Florida,region_Marshall Islands,country_United States,success
2022,8,13260.0,1,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,True
2022,9,13440.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,9,14760.0,1,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,True
2022,9,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,9,13260.0,1,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,True
2022,10,0.0,0,28.6080585,-80.6039558,2,50000000,1,1,1.0,False,False,True,False,True,True
2022,11,3700.0,0,28.6080585,-80.6039558,2,90000000,0,0,1.0,False,False,True,False,True,
2022,10,13260.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,10,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,10,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,11,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,11,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,11,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,11,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,11,0.0,0,28.6080585,-80.6039558,2,50000000,0,0,1.0,False,False,True,False,True,
2022,11,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,11,5100.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,12,0.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,
2022,11,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,12,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,12,0.0,0,34.632093,-120.610829,2,50000000,0,0,0.9642857142857143,False,True,False,False,True,
2022,12,0.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
2022,12,0.0,0,28.6080585,-80.6039558,2,90000000,0,0,1.0,False,False,True,False,True,
2022,12,5100.0,0,28.5618571,-80.577366,2,50000000,0,0,0.9797979797979798,False,False,True,False,True,
